공종,공정,공정설명,설비,물질,유해위험요인 분류,유해위험요인 원인,유해위험요인,관련근거(법규),위험 가능성,위험 중대성,위험성,감소대책
기초파일작업,"기초파일 자재, 장비반입, 운반, 보관",파일을 박기위해 필요한 장비를 반입하고 기초파일을 운반하여 보관하는 작업,지게차,,1. 기계(설비)적 요인,"1.3 기계(설비)의 낙하, 비래, 전복, 붕괴, 전도위험 부분","지게차 운전원의 조작미숙으로 충돌, 협착(무자격운전 위험)",-,"중
(2)","중
(2)","보통
(4)",1. 운전원 자격 유무 확인
기초파일작업,"기초파일 자재, 장비반입, 운반, 보관",파일을 박기위해 필요한 장비를 반입하고 기초파일을 운반하여 보관하는 작업,지게차,,1. 기계(설비)적 요인,"1.3 기계(설비)의 낙하, 비래, 전복, 붕괴, 전도위험 부분",지게차의 기계장치 연결부 파단에 의한 인양중 파일 낙하,"안전보건규칙
제97조 [볼트 · 너트의 풀림 방지]","하
(1)","중
(2)","낮음
(2)",1. 볼트 · 너트 풀림 방지
기초파일작업,"기초파일 자재, 장비반입, 운반, 보관",파일을 박기위해 필요한 장비를 반입하고 기초파일을 운반하여 보관하는 작업,지게차,,1. 기계(설비)적 요인,"1.3 기계(설비)의 낙하, 비래, 전복, 붕괴, 전도위험 부분",지게차 운전원 파일 하역중 파일이 흔들려 낙하,"안전보건규칙
제180조 [헤드가드]","하
(1)","중
(2)","낮음
(2)",1. 적합한 헤드가드 설치
기초파일작업,"기초파일 자재, 장비반입, 운반, 보관",파일을 박기위해 필요한 장비를 반입하고 기초파일을 운반하여 보관하는 작업,지게차,,1. 기계(설비)적 요인,"1.3 기계(설비)의 낙하, 비래, 전복, 붕괴, 전도위험 부분","지게차 후면에 접근금지 시설 미설치 되어 후진중 협착, 충돌","안전보건규칙
제172조 [접촉의 방지]","중
(2)","소
(1)","낮음
(2)","1. 작업구역 출입금지
2. 작업지휘자 또는 유도자 유도에 따라 작업
3.경보음, 경광등 ,후사경 등 안전장치 부착 및 작동"
기초파일작업,"기초파일 자재, 장비반입, 운반, 보관",파일을 박기위해 필요한 장비를 반입하고 기초파일을 운반하여 보관하는 작업,지게차,,1. 기계(설비)적 요인,"1.3 기계(설비)의 낙하, 비래, 전복, 붕괴, 전도위험 부분","지게차 사용시 유도자 미배치로 주변 근로자 충돌, 협착","안전보건규칙
제172조 [접촉의 방지]","중
(2)","소
(1)","낮음
(2)","1. 작업구역 출입금지
2. 작업지휘자 또는 유도자 유도에 따라 작업"
기초파일작업,"기초파일 자재, 장비반입, 운반, 보관",파일을 박기위해 필요한 장비를 반입하고 기초파일을 운반하여 보관하는 작업,개인보호구,,1. 기계(설비)적 요인,1.4 충돌위험 부분,"작업중 안전모, 안전화 등 개인보호구 미착용 및 작업중 파일 등에 신체부위 접촉","안전보건규칙
제32조 [보호구의 지급 등]","하
(1)","중
(2)","낮음
(2)","1 보호구(안전모, 안전대, 안전화, 보안면, 절연용 보호구, 방열복, 방진마스크, 방한모·방한복·방한화·방한장갑)지급 
2. 보호구(안전모, 안전대, 안전화, 보안면, 절연용 보호구, 방열복, 방진마스크, 방한모·방한복·방한화·방한장갑) 착용"
기초파일작업,"기초파일 자재, 장비반입, 운반, 보관",파일을 박기위해 필요한 장비를 반입하고 기초파일을 운반하여 보관하는 작업,기성말뚝,,1. 기계(설비)적 요인,1.4 충돌위험 부분,연약지반 등 지반이 불량하여 파일이 굴러넘어짐,"안전보건규칙
제393조 [화물의 적재]","하
(1)","중
(2)","낮음
(2)","1. 지반상태 사전 확인 및 적합한 지반 기반위에 적재
2. 불안정한 높이로 적재 금지
3. 편하중이 생기지 않도록 할 것"
기초파일작업,"기초파일 자재, 장비반입, 운반, 보관",파일을 박기위해 필요한 장비를 반입하고 기초파일을 운반하여 보관하는 작업,기성말뚝,,1. 기계(설비)적 요인,1.4 충돌위험 부분,파일 적재용 받침목이 부러지면서 파일이 굴러 협착,"안전보건규칙
제35조 [관리감독자의 유해위험방지 업무 등]","중
(2)","소
(1)","낮음
(2)","1. 관리감독자 점검(별표3의 작업에 대해)
2. 관리감독자의 점검 및 이상조치"
기초파일작업,"기초파일 자재, 장비반입, 운반, 보관",파일을 박기위해 필요한 장비를 반입하고 기초파일을 운반하여 보관하는 작업,기성말뚝,,1. 기계(설비)적 요인,1.4 충돌위험 부분,적재파일의 구름방지용 쐐기 미설치로 파일이 굴러넘어져 협착,"안전보건규칙
제386조 [경사면에서의 중량물 취급]","중
(2)","소
(1)","낮음
(2)","1. 구름멈춤대, 쐐기 등을 이용하여 중량물의 동요나 이동 조절
2. 경사면 아래로 근로자 출입 제한"
기초파일작업,"기초파일 자재, 장비반입, 운반, 보관",파일을 박기위해 필요한 장비를 반입하고 기초파일을 운반하여 보관하는 작업,기성말뚝,,1. 기계(설비)적 요인,1.4 충돌위험 부분,파일 과적재로 인한 붕괴 및 파일이 굴러넘어져 협착,"안전보건규칙
제393조 [화물의 적재]","중
(2)","소
(1)","낮음
(2)","1. 지반상태 사전 확인 및 적합한 지반 기반위에 적재
2. 불안정한 높이로 적재 금지
3. 편하중이 생기지 않도록 할 것"
기초파일작업,"기초파일 자재, 장비반입, 운반, 보관",파일을 박기위해 필요한 장비를 반입하고 기초파일을 운반하여 보관하는 작업,지게차,,6. 작업환경요인,6.3 공간 및 이동통로,"작업중 주변에 출입금지 미조치로 지게차 및 파일에 협착, 충돌","안전보건규칙
제20조 [출입의 금지 등]","중
(2)","소
(1)","낮음
(2)","1. 출입금지구역관리
2. 안전지주 또는 안전블록 사용"
기초파일작업,기초파일 천공,파일을 박기위해 지반에 구멍을 내는 작업,천공기,,1. 기계(설비)적 요인,"1.1 협착위험 부분(감김, 끼임)","천공기 운전원 조작미숙으로 전도, 협착",-,"중
(2)","소
(1)","낮음
(2)","1. 운전원 자격 유무 확인
2. 작업전 특별교육 실시"
기초파일작업,기초파일 천공,파일을 박기위해 지반에 구멍을 내는 작업,천공기,,1. 기계(설비)적 요인,"1.1 협착위험 부분(감김, 끼임)","천공기 스크류부위 위험지역 미설정으로 협착, 충돌","안전보건규칙
제200조 [접촉 방지]","중
(2)","중
(2)","보통
(4)",1. 근로자 출입제한
기초파일작업,기초파일 천공,파일을 박기위해 지반에 구멍을 내는 작업,천공기,,1. 기계(설비)적 요인,"1.1 협착위험 부분(감김, 끼임)","천공기 운행중 작업자 충돌, 협착","안전보건규칙
제200조 [접촉 방지]","중
(2)","소
(1)","낮음
(2)","1. 근로자 출입제한
2. 유도자 배치"
기초파일작업,기초파일 천공,파일을 박기위해 지반에 구멍을 내는 작업,굴삭기,,1. 기계(설비)적 요인,"1.1 협착위험 부분(감김, 끼임)","굴삭기 운행중 작업자 충돌, 협착","안전보건규칙
제200조 [접촉 방지]","중
(2)","소
(1)","낮음
(2)","1. 근로자 출입제한
2. 유도자 배치"
기초파일작업,기초파일 천공,파일을 박기위해 지반에 구멍을 내는 작업,항타기,,1. 기계(설비)적 요인,"1.1 협착위험 부분(감김, 끼임)","항타기 운행중 작업자 충돌, 협착","안전보건규칙
제200조 [접촉 방지]","중
(2)","소
(1)","낮음
(2)","1. 근로자 출입제한
2. 유도자 배치"
기초파일작업,기초파일 천공,파일을 박기위해 지반에 구멍을 내는 작업,천공기,,1. 기계(설비)적 요인,"1.1 협착위험 부분(감김, 끼임)","천공기 후면 또는 본체 회전중 후면부 충돌, 협착","안전보건규칙
제200조 [접촉 방지]","중
(2)","소
(1)","낮음
(2)","1. 근로자 출입제한
2. 유도자 배치"
기초파일작업,기초파일 천공,파일을 박기위해 지반에 구멍을 내는 작업,천공기,,1. 기계(설비)적 요인,"1.1 협착위험 부분(감김, 끼임)",천공기 붐 노후로 파단,"안전보건규칙
제207조 [조립시 점검]","하
(1)","중
(2)","낮음
(2)","1. 본체 연결부의 풀림 또는 손상의 유무
2. 권상용 와이어로프 · 드럼 및 도르래의 부착상태의 이상 유무
3. 권상장치의 브레이크 및 쐐기장치 기능의 이상 유무
4. 권상기의 설치상태의 이상 유무
5. 버팀의 방법 및 고정상태의 이상 유무"
기초파일작업,기초파일 천공,파일을 박기위해 지반에 구멍을 내는 작업,천공기,,1. 기계(설비)적 요인,"1.1 협착위험 부분(감김, 끼임)",천공기 리더연결 와이어 파단으로 리더부 전도로 협착,"안전보건규칙
제207조 [조립시 점검]","중
(2)","소
(1)","낮음
(2)","1. 본체 연결부의 풀림 또는 손상의 유무
2. 권상용 와이어로프 · 드럼 및 도르래의 부착상태의 이상 유무
3. 권상장치의 브레이크 및 쐐기장치 기능의 이상 유무
4. 권상기의 설치상태의 이상 유무
5. 버팀의 방법 및 고정상태의 이상 유무"
기초파일작업,기초파일 천공,파일을 박기위해 지반에 구멍을 내는 작업,천공기,,1. 기계(설비)적 요인,"1.1 협착위험 부분(감김, 끼임)",천공기 스크류 잔토에 하부 작업자 충돌(스크류의 잔토 낙하로 작업자 충격),-,"하
(1)","중
(2)","낮음
(2)",1. 천공기 스크류에 잔토 제거(장비자체 진동으로 제거)        2. 잔토 제거시 하부 근로자 출입통제
기초파일작업,기초파일 천공,파일을 박기위해 지반에 구멍을 내는 작업,굴삭기,,1. 기계(설비)적 요인,"1.3 기계(설비)의 낙하, 비래, 전복, 붕괴, 전도위험 부분",굴삭기 운전원의 조작미숙에 의한 전도,-,"중
(2)","소
(1)","낮음
(2)","1. 운전원 자격 유무 확인
2. 작업전 특별교육 실시"
기초파일작업,기초파일 천공,파일을 박기위해 지반에 구멍을 내는 작업,천공기,,1. 기계(설비)적 요인,"1.3 기계(설비)의 낙하, 비래, 전복, 붕괴, 전도위험 부분",천공기 붐대와 리더의 연결부 용접부 탈락으로 리더 낙하,"안전보건규칙
제207조 [조립시 점검]","하
(1)","중
(2)","낮음
(2)","1. 본체 연결부의 풀림 또는 손상의 유무
2. 권상용 와이어로프 · 드럼 및 도르래의 부착상태의 이상 유무
3. 권상장치의 브레이크 및 쐐기장치 기능의 이상 유무
4. 권상기의 설치상태의 이상 유무
5. 버팀의 방법 및 고정상태의 이상 유무"
